Year,Geography,Occupation,Value
2015,Eastern region,"   Machine operators and assemblers in manufacturing, including supervisors",21.57
2013,Eastern region,"   Labourer in processing, manufacturing and utilities",15.32
2014,Eastern region,"   Labourer in processing, manufacturing and utilities",15.82
2015,Eastern region,"   Labourer in processing, manufacturing and utilities",19.18
2013,Eastern region,    Legislators And Senior Management,52.76
2014,Eastern region,    Legislators And Senior Management,49.89
2015,Eastern region,    Legislators And Senior Management,54.28
2013,Eastern region,    Administrative Services Managers,42.63
2014,Eastern region,    Administrative Services Managers,43.59
2015,Eastern region,    Administrative Services Managers,46.66
2013,Eastern region,"    Managers In Engineering, Architecture, Science And Information Systems",47.68
2014,Eastern region,"    Managers In Engineering, Architecture, Science And Information Systems",51.63
2015,Eastern region,"    Managers In Engineering, Architecture, Science And Information Systems",48.46
2013,Eastern region,"    Sales, Marketing And Advertising Managers",43.39
2014,Eastern region,"    Sales, Marketing And Advertising Managers",42.21
2015,Eastern region,"    Sales, Marketing And Advertising Managers",49.6
2013,Eastern region,    Facility Operation And Maintenance Managers,32.21
2014,Eastern region,    Facility Operation And Maintenance Managers,38.45
2015,Eastern region,    Facility Operation And Maintenance Managers,34.32
2013,Eastern region,    Managers In Retail Trade,26.31
2014,Eastern region,    Managers In Retail Trade,25
2015,Eastern region,    Managers In Retail Trade,29.58
2013,Eastern region,    Managers In Food Service And Accommodation,18.81
2014,Eastern region,    Managers In Food Service And Accommodation,22.75
2015,Eastern region,    Managers In Food Service And Accommodation,26.34
2013,Eastern region,    Managers In Financial And Business Services,41.8
2014,Eastern region,    Managers In Financial And Business Services,45.44
2015,Eastern region,    Managers In Financial And Business Services,42.29
2013,Eastern region,"    Managers In Health, Education, Social And Community Services",40.57
2014,Eastern region,"    Managers In Health, Education, Social And Community Services",40.8
2015,Eastern region,"    Managers In Health, Education, Social And Community Services",42.13
2013,Eastern region,    Managers In Public Administration,49.5
2014,Eastern region,    Managers In Public Administration,52.27
2015,Eastern region,    Managers In Public Administration,53.48
2013,Eastern region,    Managers In Construction And Transportation,36.96
2014,Eastern region,    Managers In Construction And Transportation,32.15
2015,Eastern region,    Managers In Construction And Transportation,36.2
2013,Eastern region,    Managers In Manufacturing And Utilities,40.24
2014,Eastern region,    Managers In Manufacturing And Utilities,45.64
2015,Eastern region,    Managers In Manufacturing And Utilities,58.31
2013,Eastern region,"    Auditors, Accountants And Investment Professionals",34.37
2014,Eastern region,"    Auditors, Accountants And Investment Professionals",35.06
2015,Eastern region,"    Auditors, Accountants And Investment Professionals",37.78
2013,Eastern region,    Human Resources And Business Service Professionals,37.15
2014,Eastern region,    Human Resources And Business Service Professionals,36.54
2015,Eastern region,    Human Resources And Business Service Professionals,37.6
2013,Eastern region,    Finance And Insurance Administrative Occupations,22.51
2014,Eastern region,    Finance And Insurance Administrative Occupations,24.44
2015,Eastern region,    Finance And Insurance Administrative Occupations,24.82
2013,Eastern region,"    Secretaries, Recorders And Transcriptionists",20.55
2014,Eastern region,"    Secretaries, Recorders And Transcriptionists",20.52
2015,Eastern region,"    Secretaries, Recorders And Transcriptionists",21.36
2013,Eastern region,    Administrative And Regulatory Occupations,25.72
2014,Eastern region,    Administrative And Regulatory Occupations,26.88
2015,Eastern region,    Administrative And Regulatory Occupations,27.34
2013,Eastern region,    Clerical Supervisors,24.36
2014,Eastern region,    Clerical Supervisors,25.72
2015,Eastern region,    Clerical Supervisors,28.86
2013,Eastern region,"    Clerical Occupations, General Office Skills",17.75
2014,Eastern region,"    Clerical Occupations, General Office Skills",18.04
2015,Eastern region,"    Clerical Occupations, General Office Skills",18.23
2013,Eastern region,    Office Equipment Operators,19.63
2014,Eastern region,    Office Equipment Operators,13.73
2015,Eastern region,    Office Equipment Operators,18.39
2013,Eastern region,    Finance And Insurance Clerks,21.14
2014,Eastern region,    Finance And Insurance Clerks,20.61
2015,Eastern region,    Finance And Insurance Clerks,21.99
2013,Eastern region,    Administrative Support Clerks,21.52
2014,Eastern region,    Administrative Support Clerks,22.78
2015,Eastern region,    Administrative Support Clerks,23
2013,Eastern region,"    Library, Correspondence And Related Information Clerks",15.93
2014,Eastern region,"    Library, Correspondence And Related Information Clerks",17.46
2015,Eastern region,"    Library, Correspondence And Related Information Clerks",17.94
2013,Eastern region,    Mail And Message Distribution Occupations,19.83
2014,Eastern region,    Mail And Message Distribution Occupations,18.42
2015,Eastern region,    Mail And Message Distribution Occupations,19.21
2013,Eastern region,"    Recording, Scheduling And Distributing Occupations",18.37
2014,Eastern region,"    Recording, Scheduling And Distributing Occupations",19.39
2015,Eastern region,"    Recording, Scheduling And Distributing Occupations",19.55
2013,Eastern region,    Physical Science Professionals,40.35
2014,Eastern region,    Physical Science Professionals,38.06
2013,Eastern region,    Life Science Professionals,40
2014,Eastern region,    Life Science Professionals,41.29
2013,Eastern region,"    Civil, Mechanical, Electrical And Chemical Engineers",43.29
2014,Eastern region,"    Civil, Mechanical, Electrical And Chemical Engineers",41.97
2015,Eastern region,"    Civil, Mechanical, Electrical And Chemical Engineers",46.38
2013,Eastern region,    Other Engineers,41.1
2014,Eastern region,    Other Engineers,41.36
2015,Eastern region,    Other Engineers,41.72
2013,Eastern region,"    Architects, Urban Planners And Land Surveyors",36.03
2014,Eastern region,"    Architects, Urban Planners And Land Surveyors",38.87
2014,Eastern region,"      Mathematicians, Statisticians and Actuaries",36.03
2015,Eastern region,"      Mathematicians, Statisticians and Actuaries",44.17
2013,Eastern region,   Computer and Information Systems Professionals,39.04
2014,Eastern region,   Computer and Information Systems Professionals,39.39
2015,Eastern region,   Computer and Information Systems Professionals,39.26
2013,Eastern region,    Technical Occupations In Physical Sciences,30.19
2014,Eastern region,    Technical Occupations In Physical Sciences,31.09
2015,Eastern region,    Technical Occupations In Physical Sciences,24.85
2013,Eastern region,    Technical Occupations In Life Sciences,27.08
2014,Eastern region,    Technical Occupations In Life Sciences,31.93
2015,Eastern region,    Technical Occupations In Life Sciences,34.09
2013,Eastern region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",31.55
2014,Eastern region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",29.19
2015,Eastern region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",27.38
2013,Eastern region,    Technical Occupations In Electronics And Electrical Engineering,28.05
2014,Eastern region,    Technical Occupations In Electronics And Electrical Engineering,29.44
2015,Eastern region,    Technical Occupations In Electronics And Electrical Engineering,28.69
2013,Eastern region,"    Technical Occupations In Architecture, Drafting, Surveying And Mapping",26.83
2014,Eastern region,"    Technical Occupations In Architecture, Drafting, Surveying And Mapping",27.21
2015,Eastern region,"    Technical Occupations In Architecture, Drafting, Surveying And Mapping",29.31
2013,Eastern region,    Other Technical Inspectors And Regulatory Officers,28.84
2014,Eastern region,    Other Technical Inspectors And Regulatory Officers,35.86
2015,Eastern region,    Other Technical Inspectors And Regulatory Officers,31.11
2013,Eastern region,    Transportation Officers And Controllers,36.5
2013,Eastern region,   Technical Occupations in Computer and Information Systems,28.81
2014,Eastern region,   Technical Occupations in Computer and Information Systems,30.85
2015,Eastern region,   Technical Occupations in Computer and Information Systems,34.24
2013,Eastern region,"    Physicians, Dentists And Veterinarians",38.19
