Year,Geography,Occupation,Value
2014,Central region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",13.67
2015,Central region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",14.44
2013,Central region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",13.75
2014,Central region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",14.52
2015,Central region,"   Chefs and cooks, and occupations in food and beverage service, including supervisors",14.76
2013,Central region,   Occupation in protective services,24.37
2014,Central region,   Occupation in protective services,22.76
2015,Central region,   Occupation in protective services,26.24
2013,Central region,   Childcare and home support workers,15.65
2014,Central region,   Childcare and home support workers,15.88
2015,Central region,   Childcare and home support workers,17.79
2013,Central region,"   Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",14.78
2014,Central region,"   Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",15.06
2015,Central region,"   Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors",14.84
2013,Central region,"Trades, transport and equipment operators and related occupations",22.79
2014,Central region,"Trades, transport and equipment operators and related occupations",23.21
2015,Central region,"Trades, transport and equipment operators and related occupations",24.53
2013,Central region,   Contractors and supervisors in trades and transportation,29.67
2014,Central region,   Contractors and supervisors in trades and transportation,29.2
2015,Central region,   Contractors and supervisors in trades and transportation,32.94
2013,Central region,   Construction trades,25.06
2014,Central region,   Construction trades,26.22
2015,Central region,   Construction trades,28.54
2013,Central region,   Other trades occupations,24.64
2014,Central region,   Other trades occupations,25.09
2015,Central region,   Other trades occupations,26.07
2013,Central region,   Transport and equipment operators,20.72
2014,Central region,   Transport and equipment operators,20.71
2015,Central region,   Transport and equipment operators,22.25
2013,Central region,"   Trades helpers, construction, and transportation labourers and related occupations",18.78
2014,Central region,"   Trades helpers, construction, and transportation labourers and related occupations",18.4
2015,Central region,"   Trades helpers, construction, and transportation labourers and related occupations",17.97
2013,Central region,Occupations unique to primary industry,18.21
2014,Central region,Occupations unique to primary industry,18.05
2015,Central region,Occupations unique to primary industry,18.02
2013,Central region,"Occupations unique to processing, manufacturing and utilities",18.6
2014,Central region,"Occupations unique to processing, manufacturing and utilities",19.49
2015,Central region,"Occupations unique to processing, manufacturing and utilities",18.83
2013,Central region,"   Machine operators and assemblers in manufacturing, including supervisors",19.43
2014,Central region,"   Machine operators and assemblers in manufacturing, including supervisors",20.74
2015,Central region,"   Machine operators and assemblers in manufacturing, including supervisors",20.01
2013,Central region,"   Labourer in processing, manufacturing and utilities",14.77
2014,Central region,"   Labourer in processing, manufacturing and utilities",14.73
2015,Central region,"   Labourer in processing, manufacturing and utilities",14.71
2013,Central region,    Legislators And Senior Management,52.51
2014,Central region,    Legislators And Senior Management,50.92
2015,Central region,    Legislators And Senior Management,53.55
2013,Central region,    Administrative Services Managers,45.03
2014,Central region,    Administrative Services Managers,44.52
2015,Central region,    Administrative Services Managers,45.38
2013,Central region,"    Managers In Engineering, Architecture, Science And Information Systems",45.62
2014,Central region,"    Managers In Engineering, Architecture, Science And Information Systems",46.06
2015,Central region,"    Managers In Engineering, Architecture, Science And Information Systems",50.07
2013,Central region,"    Sales, Marketing And Advertising Managers",42.98
2014,Central region,"    Sales, Marketing And Advertising Managers",41.16
2015,Central region,"    Sales, Marketing And Advertising Managers",44.13
2013,Central region,    Facility Operation And Maintenance Managers,29.96
2014,Central region,    Facility Operation And Maintenance Managers,34.89
2015,Central region,    Facility Operation And Maintenance Managers,38.66
2013,Central region,    Managers In Retail Trade,29.65
2014,Central region,    Managers In Retail Trade,29.59
2015,Central region,    Managers In Retail Trade,32.28
2013,Central region,    Managers In Food Service And Accommodation,24.53
2014,Central region,    Managers In Food Service And Accommodation,23.93
2015,Central region,    Managers In Food Service And Accommodation,21.55
2013,Central region,    Managers In Financial And Business Services,40.97
2014,Central region,    Managers In Financial And Business Services,46.26
2015,Central region,    Managers In Financial And Business Services,45.91
2013,Central region,    Managers In Communication (Except Broadcasting),43
2014,Central region,    Managers In Communication (Except Broadcasting),41.48
2015,Central region,    Managers In Communication (Except Broadcasting),49.26
2013,Central region,"    Managers In Health, Education, Social And Community Services",44.7
2014,Central region,"    Managers In Health, Education, Social And Community Services",45.97
2015,Central region,"    Managers In Health, Education, Social And Community Services",40.7
2013,Central region,    Managers In Public Administration,43.33
2014,Central region,    Managers In Public Administration,49.1
2015,Central region,    Managers In Public Administration,52.91
2013,Central region,"    Managers In Art, Culture, Recreation And Sport",43.44
2014,Central region,"    Managers In Art, Culture, Recreation And Sport",33.42
2015,Central region,"    Managers In Art, Culture, Recreation And Sport",41.56
2013,Central region,    Managers In Protective Service,61.49
2013,Central region,    Managers In Other Services,28.19
2014,Central region,    Managers In Other Services,40.15
2013,Central region,    Managers In Construction And Transportation,32.49
2014,Central region,    Managers In Construction And Transportation,39.17
2015,Central region,    Managers In Construction And Transportation,39.03
2013,Central region,    Managers In Manufacturing And Utilities,41.83
2014,Central region,    Managers In Manufacturing And Utilities,42.14
2015,Central region,    Managers In Manufacturing And Utilities,46.57
2013,Central region,"    Auditors, Accountants And Investment Professionals",35.35
2014,Central region,"    Auditors, Accountants And Investment Professionals",35.6
2015,Central region,"    Auditors, Accountants And Investment Professionals",37.3
2013,Central region,    Human Resources And Business Service Professionals,35.95
2014,Central region,    Human Resources And Business Service Professionals,34.12
2015,Central region,    Human Resources And Business Service Professionals,34.08
2013,Central region,    Finance And Insurance Administrative Occupations,24.77
2014,Central region,    Finance And Insurance Administrative Occupations,25.56
2015,Central region,    Finance And Insurance Administrative Occupations,25.47
2013,Central region,"    Secretaries, Recorders And Transcriptionists",18.69
2014,Central region,"    Secretaries, Recorders And Transcriptionists",19.98
2015,Central region,"    Secretaries, Recorders And Transcriptionists",21.56
2013,Central region,    Administrative And Regulatory Occupations,24.68
2014,Central region,    Administrative And Regulatory Occupations,25.26
2015,Central region,    Administrative And Regulatory Occupations,24.87
2013,Central region,    Clerical Supervisors,24.11
2014,Central region,    Clerical Supervisors,24.67
2015,Central region,    Clerical Supervisors,26.4
2013,Central region,"    Clerical Occupations, General Office Skills",17.45
2014,Central region,"    Clerical Occupations, General Office Skills",17.57
2015,Central region,"    Clerical Occupations, General Office Skills",17.69
2013,Central region,    Office Equipment Operators,19.22
2014,Central region,    Office Equipment Operators,17.92
2015,Central region,    Office Equipment Operators,17.55
2013,Central region,    Finance And Insurance Clerks,20.27
2014,Central region,    Finance And Insurance Clerks,20.97
2015,Central region,    Finance And Insurance Clerks,20.35
2013,Central region,    Administrative Support Clerks,21.14
2014,Central region,    Administrative Support Clerks,21.04
2015,Central region,    Administrative Support Clerks,22.41
2013,Central region,"    Library, Correspondence And Related Information Clerks",18.52
2014,Central region,"    Library, Correspondence And Related Information Clerks",17.56
2015,Central region,"    Library, Correspondence And Related Information Clerks",19.68
2013,Central region,    Mail And Message Distribution Occupations,19.5
2014,Central region,    Mail And Message Distribution Occupations,20.35
2015,Central region,    Mail And Message Distribution Occupations,20.53
2013,Central region,"    Recording, Scheduling And Distributing Occupations",18.89
2014,Central region,"    Recording, Scheduling And Distributing Occupations",19.12
2015,Central region,"    Recording, Scheduling And Distributing Occupations",19.41
2013,Central region,    Physical Science Professionals,38.18
2014,Central region,    Physical Science Professionals,34.26
2015,Central region,    Physical Science Professionals,39.18
2013,Central region,    Life Science Professionals,27.32
2014,Central region,    Life Science Professionals,37.43
2013,Central region,"    Civil, Mechanical, Electrical And Chemical Engineers",42.03
2014,Central region,"    Civil, Mechanical, Electrical And Chemical Engineers",36.43
2015,Central region,"    Civil, Mechanical, Electrical And Chemical Engineers",40.77
2013,Central region,    Other Engineers,36.76
2014,Central region,    Other Engineers,43.89
2015,Central region,    Other Engineers,39.89
2013,Central region,"    Architects, Urban Planners And Land Surveyors",36.82
2014,Central region,"    Architects, Urban Planners And Land Surveyors",35.55
2015,Central region,"    Architects, Urban Planners And Land Surveyors",36.52
2013,Central region,"      Mathematicians, Statisticians and Actuaries",48.79
2014,Central region,"      Mathematicians, Statisticians and Actuaries",49.9
2015,Central region,"      Mathematicians, Statisticians and Actuaries",48.72
2013,Central region,   Computer and Information Systems Professionals,37.05
2014,Central region,   Computer and Information Systems Professionals,36.71
2015,Central region,   Computer and Information Systems Professionals,38.96
2013,Central region,    Technical Occupations In Physical Sciences,24.02
2014,Central region,    Technical Occupations In Physical Sciences,26.51
2015,Central region,    Technical Occupations In Physical Sciences,27.97
2013,Central region,    Technical Occupations In Life Sciences,21.94
2014,Central region,    Technical Occupations In Life Sciences,23.8
2015,Central region,    Technical Occupations In Life Sciences,24.91
2013,Central region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",29.37
2014,Central region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",32.8
2015,Central region,"    Technical Occupations In Civil, Mechanical And Industrial Engineering",29.76
2013,Central region,    Technical Occupations In Electronics And Electrical Engineering,26.87
2014,Central region,    Technical Occupations In Electronics And Electrical Engineering,23.92
2015,Central region,    Technical Occupations In Electronics And Electrical Engineering,28.74
2013,Central region,"    Technical Occupations In Architecture, Drafting, Surveying And Mapping",27
2014,Central region,"    Technical Occupations In Architecture, Drafting, Surveying And Mapping",28.21
2015,Central region,"    Technical Occupations In Architecture, Drafting, Surveying And Mapping",29.23
2013,Central region,    Other Technical Inspectors And Regulatory Officers,32.53
2014,Central region,    Other Technical Inspectors And Regulatory Officers,32.24
2015,Central region,    Other Technical Inspectors And Regulatory Officers,37.55
2013,Central region,    Transportation Officers And Controllers,45.53
2014,Central region,    Transportation Officers And Controllers,38.23
2015,Central region,    Transportation Officers And Controllers,39.55
2013,Central region,   Technical Occupations in Computer and Information Systems,30.15
2014,Central region,   Technical Occupations in Computer and Information Systems,30.63
2015,Central region,   Technical Occupations in Computer and Information Systems,31.14
2013,Central region,"    Physicians, Dentists And Veterinarians",30.91
2014,Central region,"    Physicians, Dentists And Veterinarians",34.12
2015,Central region,"    Physicians, Dentists And Veterinarians",28.87
2013,Central region,"    Pharmacists, Dietitians And Nutritionists",40.91
2014,Central region,"    Pharmacists, Dietitians And Nutritionists",40.49
2015,Central region,"    Pharmacists, Dietitians And Nutritionists",41.26
2013,Central region,    Therapy And Assessment Professionals,33.8
2014,Central region,    Therapy And Assessment Professionals,37.84
2015,Central region,    Therapy And Assessment Professionals,40.01
2013,Central region,    Nurse Supervisors And Registered Nurses,36.18
2014,Central region,    Nurse Supervisors And Registered Nurses,36.57
2015,Central region,    Nurse Supervisors And Registered Nurses,34.86
2013,Central region,    Medical Technologists And Technicians (Except Dental Health),26.61
2014,Central region,    Medical Technologists And Technicians (Except Dental Health),27.47
2015,Central region,    Medical Technologists And Technicians (Except Dental Health),24.98
2013,Central region,    Technical Occupations In Dental Health Care,34.65
2014,Central region,    Technical Occupations In Dental Health Care,32.55
2015,Central region,    Technical Occupations In Dental Health Care,34.54
2013,Central region,    Other Technical Occupations In Health Care (Except Dental),26.26
2014,Central region,    Other Technical Occupations In Health Care (Except Dental),26.39
2015,Central region,    Other Technical Occupations In Health Care (Except Dental),27.29
2013,Central region,    Assisting Occupations In Support Of Health Services,18.7
2014,Central region,    Assisting Occupations In Support Of Health Services,19.44
2015,Central region,    Assisting Occupations In Support Of Health Services,21.36
2013,Central region,"    Judges, Lawyers And Quebec Notaries",43.49
2014,Central region,"    Judges, Lawyers And Quebec Notaries",45.82
2015,Central region,"    Judges, Lawyers And Quebec Notaries",46.96
2013,Central region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",29.61
2014,Central region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",29.47
2015,Central region,"    Psychologists, Social Workers, Counsellors, Clergy And Probation Officers",30.32
2013,Central region,"    Policy And Program Officers, Researchers And Consultants",34.97
2014,Central region,"    Policy And Program Officers, Researchers And Consultants",35.96
2015,Central region,"    Policy And Program Officers, Researchers And Consultants",35.61
2013,Central region,    University Professors And Assistants,36.25
2014,Central region,    University Professors And Assistants,36.22
2015,Central region,    University Professors And Assistants,31.95
2013,Central region,    College And Other Vocational Instructors,34.44
2014,Central region,    College And Other Vocational Instructors,32.53
2015,Central region,    College And Other Vocational Instructors,41.57
2013,Central region,    Secondary And Elementary School Teachers And Counsellors,37.07
2014,Central region,    Secondary And Elementary School Teachers And Counsellors,36.76
2015,Central region,    Secondary And Elementary School Teachers And Counsellors,36.59
2013,Central region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",22.38
2014,Central region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",21.87
2015,Central region,"    Paralegals, Social Services Workers And Occupations In Education And Religion, N.E.C.",21.71
2013,Central region,"    Librarians, Archivists, Conservators And Curators",31.61
2014,Central region,"    Librarians, Archivists, Conservators And Curators",33.01
2015,Central region,"    Librarians, Archivists, Conservators And Curators",38.78
2013,Central region,"    Writing, Translating And Public Relations Professionals",30.56
2014,Central region,"    Writing, Translating And Public Relations Professionals",30.46
2015,Central region,"    Writing, Translating And Public Relations Professionals",32.91
2013,Central region,    Creative And Performing Artists,27.82
2014,Central region,    Creative And Performing Artists,29.36
2015,Central region,    Creative And Performing Artists,26.32
2013,Central region,"    Technical Occupations In Libraries, Archives, Museums And Galleries",20.57
2014,Central region,"    Technical Occupations In Libraries, Archives, Museums And Galleries",20.28
2015,Central region,"    Technical Occupations In Libraries, Archives, Museums And Galleries",23.14
2013,Central region,"    Photographers, Graphic Arts Technicians And Technical Occupations ",33.69
2014,Central region,"    Photographers, Graphic Arts Technicians And Technical Occupations ",26.94
2015,Central region,"    Photographers, Graphic Arts Technicians And Technical Occupations ",27.92
2013,Central region,    Creative Designers And Craftspersons,26.3
2014,Central region,    Creative Designers And Craftspersons,27.79
2015,Central region,    Creative Designers And Craftspersons,27.59
2013,Central region,"    Athletes, Coaches, Referees And Related Occupations",18.3
2014,Central region,"    Athletes, Coaches, Referees And Related Occupations",14.83
2015,Central region,"    Athletes, Coaches, Referees And Related Occupations",16.28
2013,Central region,    Sales And Service Supervisors,18.17
2014,Central region,    Sales And Service Supervisors,18.24
2015,Central region,    Sales And Service Supervisors,19.01
2013,Central region,"    Sales Representatives, Wholesale Trade",25.17
2014,Central region,"    Sales Representatives, Wholesale Trade",24.83
2015,Central region,"    Sales Representatives, Wholesale Trade",27.27
2013,Central region,"    Technical Sales Specialists, Wholesale Trade",27.41
2014,Central region,"    Technical Sales Specialists, Wholesale Trade",26.95
2015,Central region,"    Technical Sales Specialists, Wholesale Trade",31.53
2013,Central region,    Insurance And Real Estate Sales Occupations And Buyers,25.54
2014,Central region,    Insurance And Real Estate Sales Occupations And Buyers,23.85
2015,Central region,    Insurance And Real Estate Sales Occupations And Buyers,25.19
2013,Central region,    Retail Salespersons And Sales Clerks,13.71
2014,Central region,    Retail Salespersons And Sales Clerks,13.56
2015,Central region,    Retail Salespersons And Sales Clerks,14.25
2013,Central region,    Cashiers,11.5
2014,Central region,    Cashiers,11.52
2015,Central region,    Cashiers,11.92
2013,Central region,    Chefs And Cooks,14.13
2014,Central region,    Chefs And Cooks,14.96
2015,Central region,    Chefs And Cooks,15.28
2013,Central region,    Occupations In Food And Beverage Service,13.26
2014,Central region,    Occupations In Food And Beverage Service,14.03
2015,Central region,    Occupations In Food And Beverage Service,14.49
2013,Central region,    Police Officers And Fire-Fighters,35.22
2014,Central region,    Police Officers And Fire-Fighters,35.04
2015,Central region,    Police Officers And Fire-Fighters,39.53
2013,Central region,    Other Occupations In Protective Service,29.36
2014,Central region,    Other Occupations In Protective Service,29.28
2015,Central region,    Other Occupations In Protective Service,32.05
2013,Central region,    Security Guards And Related Occupations,16.02
2014,Central region,    Security Guards And Related Occupations,15.11
2015,Central region,    Security Guards And Related Occupations,15.88
2013,Central region,    Occupations In Travel And Accommodation,20.35
2014,Central region,    Occupations In Travel And Accommodation,20.38
2015,Central region,    Occupations In Travel And Accommodation,20.41
2014,Central region,    Tour And Recreational Guides And Amusement Occupations,21.58
2015,Central region,    Tour And Recreational Guides And Amusement Occupations,19.88
2013,Central region,"    Other Attendants In Travel, Accommodation And Recreation",13.37
2014,Central region,"    Other Attendants In Travel, Accommodation And Recreation",13.72
2015,Central region,"    Other Attendants In Travel, Accommodation And Recreation",15.29
2013,Central region,    Childcare And Home Support Workers,15.65
2014,Central region,    Childcare And Home Support Workers,15.88
2015,Central region,    Childcare And Home Support Workers,17.79
2013,Central region,    Technical Occupations In Personal Service,15.69
2014,Central region,    Technical Occupations In Personal Service,16.55
2015,Central region,    Technical Occupations In Personal Service,15.28
2013,Central region,    Other Occupations In Personal Service,14.28
2014,Central region,    Other Occupations In Personal Service,14.26
2015,Central region,    Other Occupations In Personal Service,14.65
2013,Central region,    Cleaners,16.12
2014,Central region,    Cleaners,17.02
2015,Central region,    Cleaners,16.14
2013,Central region,    Butchers And Bakers,13.1
2014,Central region,    Butchers And Bakers,14.1
2015,Central region,    Butchers And Bakers,14.78
2013,Central region,    Food Counter Attendants And Kitchen Helpers,11.69
2014,Central region,    Food Counter Attendants And Kitchen Helpers,12.11
2015,Central region,    Food Counter Attendants And Kitchen Helpers,12.03
2013,Central region,    Other Sales And Related Occupations,12.67
2014,Central region,    Other Sales And Related Occupations,12.96
2015,Central region,    Other Sales And Related Occupations,13.16
2013,Central region,    Other Elemental Service Occupations,15.41
2014,Central region,    Other Elemental Service Occupations,14.81
2015,Central region,    Other Elemental Service Occupations,14.55
2013,Central region,"    Contractors And Supervisors, Trades And Related Workers",29.91
2014,Central region,"    Contractors And Supervisors, Trades And Related Workers",29.91
2015,Central region,"    Contractors And Supervisors, Trades And Related Workers",33.33
2013,Central region,"    Supervisors, Railway And Motor Transportation Occupations",27.85
2014,Central region,"    Supervisors, Railway And Motor Transportation Occupations",21.69
2015,Central region,"    Supervisors, Railway And Motor Transportation Occupations",27.83
2013,Central region,"    Plumbers, Pipefitters And Gas Fitters",26.89
2014,Central region,"    Plumbers, Pipefitters And Gas Fitters",27.39
2015,Central region,"    Plumbers, Pipefitters And Gas Fitters",32.47
2013,Central region,    Carpenters And Cabinetmakers,23.28
2014,Central region,    Carpenters And Cabinetmakers,25.33
2015,Central region,    Carpenters And Cabinetmakers,26.7
2013,Central region,    Masonry And Plastering Trades,27.05
2014,Central region,    Masonry And Plastering Trades,27.83
2015,Central region,    Masonry And Plastering Trades,31.37
2013,Central region,    Other Construction Trades,22.91
2014,Central region,    Other Construction Trades,24.16
2015,Central region,    Other Construction Trades,22.54
2013,Central region,    Electrical Trades And Telecommunications Occupations,27.57
2014,Central region,    Electrical Trades And Telecommunications Occupations,28.09
2015,Central region,    Electrical Trades And Telecommunications Occupations,30.14
2013,Central region,    Stationary Engineers And Power Station And System Operators,31.09
2014,Central region,    Stationary Engineers And Power Station And System Operators,39.91
2015,Central region,    Stationary Engineers And Power Station And System Operators,35.31
2013,Central region,    Machinists And Related Occupations,23.61
2014,Central region,    Machinists And Related Occupations,25.51
2015,Central region,    Machinists And Related Occupations,23.81
2013,Central region,"    Metal Forming, Shaping And Erecting Occupations",24.77
2014,Central region,"    Metal Forming, Shaping And Erecting Occupations",23.71
2015,Central region,"    Metal Forming, Shaping And Erecting Occupations",24.64
2013,Central region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),26.31
2014,Central region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),27.22
2015,Central region,    Machinery And Transportation Equipment Mechanics (Except MotorVehicle),29.69
2013,Central region,    Motor Vehicle Mechanics,23.69
2014,Central region,    Motor Vehicle Mechanics,23.01
2015,Central region,    Motor Vehicle Mechanics,23.55
2013,Central region,    Other Mechanics,22.8
2014,Central region,    Other Mechanics,24.09
2013,Central region,"    Upholsterers, Tailors, Shoe Repairers, Jewellers And Related Occupations",16.89
2014,Central region,"    Upholsterers, Tailors, Shoe Repairers, Jewellers And Related Occupations",15.98
2015,Central region,"    Upholsterers, Tailors, Shoe Repairers, Jewellers And Related Occupations",15.77
2013,Central region,"    Printing Press Operators, Commercial Divers And Other Trades, And Related Occupations, ",22.03
2014,Central region,"    Printing Press Operators, Commercial Divers And Other Trades, And Related Occupations, ",21.92
2015,Central region,"    Printing Press Operators, Commercial Divers And Other Trades, And Related Occupations, ",21.5
2013,Central region,"    Other Installers, Repairers And Servicers",19.97
2014,Central region,"    Other Installers, Repairers And Servicers",18.32
2015,Central region,"    Other Installers, Repairers And Servicers",20.97
2013,Central region,    Heavy Equipment Operators,23.94
2014,Central region,    Heavy Equipment Operators,23.48
2015,Central region,    Heavy Equipment Operators,29.75
2015,Central region,"    Crane Operators, Drillers And Blasters",31.04
2013,Central region,    Motor Vehicle And Transit Drivers,20.31
2014,Central region,    Motor Vehicle And Transit Drivers,20.06
2015,Central region,    Motor Vehicle And Transit Drivers,20.68
2014,Central region,    Train Crew Operating Occupations,24.95
2013,Central region,    Other Transport Equipment Operators And Related Workers,15.01
2014,Central region,    Other Transport Equipment Operators And Related Workers,22.06
2015,Central region,    Other Transport Equipment Operators And Related Workers,22.03
2013,Central region,    Longshore Workers And Material Handlers,16.71
2014,Central region,    Longshore Workers And Material Handlers,16.86
2015,Central region,    Longshore Workers And Material Handlers,16.02
2013,Central region,    Trades Helpers And Labourers,22.15
2014,Central region,    Trades Helpers And Labourers,20.62
2015,Central region,    Trades Helpers And Labourers,22.23
2013,Central region,"    Public Works And Other Labourers, N.E.C.",19.11
2014,Central region,"    Public Works And Other Labourers, N.E.C.",22.42
2015,Central region,"    Public Works And Other Labourers, N.E.C.",17.07
2013,Central region,"    Contractors, Operators And Supervisors In Agriculture, Horticulture And Aquaculture",19.98
2014,Central region,"    Contractors, Operators And Supervisors In Agriculture, Horticulture And Aquaculture",22.53
2015,Central region,"    Contractors, Operators And Supervisors In Agriculture, Horticulture And Aquaculture",21.49
2013,Central region,    Agriculture And Horticulture Workers,13.33
2014,Central region,    Agriculture And Horticulture Workers,16.98
2015,Central region,    Agriculture And Horticulture Workers,20.38
2013,Central region,    Primary Production Labourers,17.79
2014,Central region,    Primary Production Labourers,16.46
2015,Central region,    Primary Production Labourers,16.9
2013,Central region,"    Supervisors, Processing Occupations",26.3
2014,Central region,"    Supervisors, Processing Occupations",27.26
2015,Central region,"    Supervisors, Processing Occupations",23.93
2013,Central region,"    Supervisors, Assembly And Fabrication",25.29
2014,Central region,"    Supervisors, Assembly And Fabrication",27.9
2015,Central region,"    Supervisors, Assembly And Fabrication",29.14
2014,Central region,    Central Control And Process Operators In Manufacturing And Processing,23.37
2013,Central region,    Machine Operators And Related Workers In Metal And Mineral Products Processing,18.58
2014,Central region,    Machine Operators And Related Workers In Metal And Mineral Products Processing,20.54
2015,Central region,    Machine Operators And Related Workers In Metal And Mineral Products Processing,22.35
2013,Central region,"    Machine Operators And Related Workers In Chemical, Plastic And Rubber Processing",18.33
2014,Central region,"    Machine Operators And Related Workers In Chemical, Plastic And Rubber Processing",18.56
2015,Central region,"    Machine Operators And Related Workers In Chemical, Plastic And Rubber Processing",19.57
2013,Central region,    Machine Operators And Related Workers In Pulp And Paper Production And Wood Processing,17.09
2014,Central region,    Machine Operators And Related Workers In Pulp And Paper Production And Wood Processing,20.23
2015,Central region,    Machine Operators And Related Workers In Pulp And Paper Production And Wood Processing,18.76
2014,Central region,    Machine Operators And Related Workers In Textile Processing,17.72
2015,Central region,    Machine Operators And Related Workers In Textile Processing,13.55
2013,Central region,"    Machine Operators And Related Workers In Fabric, Fur And Leather ",11.83
2014,Central region,"    Machine Operators And Related Workers In Fabric, Fur And Leather ",12.14
2015,Central region,"    Machine Operators And Related Workers In Fabric, Fur And Leather ",13.6
2013,Central region,"    Machine Operators And Related Workers In Food, Beverage And Tobacco Processing",17.03
2014,Central region,"    Machine Operators And Related Workers In Food, Beverage And Tobacco Processing",18.2
2015,Central region,"    Machine Operators And Related Workers In Food, Beverage And Tobacco Processing",20.41
2013,Central region,    Printing Machine Operators And Related Occupations,15.84
2014,Central region,    Printing Machine Operators And Related Occupations,18.35
2015,Central region,    Printing Machine Operators And Related Occupations,17.7
2013,Central region,"    Machining, Metalworking, Woodworking And Related Machine Operators",18.28
2014,Central region,"    Machining, Metalworking, Woodworking And Related Machine Operators",18.62
2015,Central region,"    Machining, Metalworking, Woodworking And Related Machine Operators",18.48
2013,Central region,"    Mechanical, Electrical And Electronics Assemblers",22.44
2014,Central region,"    Mechanical, Electrical And Electronics Assemblers",21.78
2015,Central region,"    Mechanical, Electrical And Electronics Assemblers",21.2
2013,Central region,    Other Assembly And Related Occupations,17.09
2014,Central region,    Other Assembly And Related Occupations,18.49
2015,Central region,    Other Assembly And Related Occupations,16.94
2013,Central region,"    Labourers In Processing, Manufacturing And Utilities",14.77
2014,Central region,"    Labourers In Processing, Manufacturing And Utilities",14.73
2015,Central region,"    Labourers In Processing, Manufacturing And Utilities",14.71
2013,Western region,Management occupations,37.27
2014,Western region,Management occupations,38.74
2015,Western region,Management occupations,39.36
2013,Western region,   Senior management occupations,50.63
2014,Western region,   Senior management occupations,44.74
2015,Western region,   Senior management occupations,45.72
2013,Western region,   Other management occupations,36.74
2014,Western region,   Other management occupations,38.41
2015,Western region,   Other management occupations,39.02
2013,Western region,"Business, finance and administrative occupations",21.9
2014,Western region,"Business, finance and administrative occupations",22.63
2015,Western region,"Business, finance and administrative occupations",22.85
2013,Western region,   Professional occupations in business and finance,31.53
2014,Western region,   Professional occupations in business and finance,34.56
2015,Western region,   Professional occupations in business and finance,33.48
2013,Western region,"   Financial, secretarial and administrative occupations",22.88
2014,Western region,"   Financial, secretarial and administrative occupations",23.65
2015,Western region,"   Financial, secretarial and administrative occupations",23.79
2013,Western region,"   Clerical occupations, including supervisors",19.54
2014,Western region,"   Clerical occupations, including supervisors",19.69
2015,Western region,"   Clerical occupations, including supervisors",20.23
2013,Western region,Natural and applied sciences and related occupations,31.72
2014,Western region,Natural and applied sciences and related occupations,33.49
2015,Western region,Natural and applied sciences and related occupations,32.92
2013,Western region,Health occupations,28.47
2014,Western region,Health occupations,28.02
2015,Western region,Health occupations,29.02
2013,Western region,"   Professional occupations in health, nurse supervisors and registered nurses",34.42
2014,Western region,"   Professional occupations in health, nurse supervisors and registered nurses",35.09
2015,Western region,"   Professional occupations in health, nurse supervisors and registered nurses",36.21
2013,Western region,"   Technical, assisting and related occupations in health",23.8
2014,Western region,"   Technical, assisting and related occupations in health",23.21
2015,Western region,"   Technical, assisting and related occupations in health",24.2
2013,Western region,"Occupations in social science, education, government service and religion",32.6
2014,Western region,"Occupations in social science, education, government service and religion",32.32
2015,Western region,"Occupations in social science, education, government service and religion",32.9
2013,Western region,"   Occupations in social science, government service and religion",26.46
2014,Western region,"   Occupations in social science, government service and religion",26.32
2015,Western region,"   Occupations in social science, government service and religion",26.66
2013,Western region,   Teachers and professors,37.35
2014,Western region,   Teachers and professors,37.45
2015,Western region,   Teachers and professors,37.94
2013,Western region,"Occupations in art, culture, recreation and sport",20.6
2014,Western region,"Occupations in art, culture, recreation and sport",21.45
2015,Western region,"Occupations in art, culture, recreation and sport",23.03
2013,Western region,Sales and service occupations,15.92
2014,Western region,Sales and service occupations,16.47
2015,Western region,Sales and service occupations,16.48
2013,Western region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",26.11
2014,Western region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",26.97
2015,Western region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",27.07
2013,Western region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",13.41
2014,Western region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",14.06
2015,Western region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",13.96
